19:35:41.625 INFO  [main] utils.ExcelReader (ExcelReader.java:129) - read 'firsttest' from row 25 and column 1
19:35:41.625 INFO  [main] utils.ExcelReader (ExcelReader.java:56) - Read data Key: scenario --> Value: firsttest
19:35:41.626 INFO  [main] utils.ExcelReader (ExcelReader.java:129) - read 'class name' from row 0 and column 2
19:35:41.626 INFO  [main] utils.ExcelReader (ExcelReader.java:129) - read 'TestLogger' from row 25 and column 2
19:35:41.626 INFO  [main] utils.ExcelReader (ExcelReader.java:56) - Read data Key: class name --> Value: TestLogger
19:35:41.627 INFO  [main] utils.ExcelReader (ExcelReader.java:129) - read 'Method name' from row 0 and column 3
19:35:41.627 INFO  [main] utils.ExcelReader (ExcelReader.java:129) - read 'firsttest' from row 25 and column 3
19:35:41.627 INFO  [main] utils.ExcelReader (ExcelReader.java:56) - Read data Key: Method name --> Value: firsttest
19:35:41.627 INFO  [main] utils.ExcelReader (ExcelReader.java:129) - read 'Run' from row 0 and column 4
19:35:41.628 INFO  [main] utils.ExcelReader (ExcelReader.java:129) - read 'true' from row 25 and column 4
19:35:41.628 INFO  [main] utils.ExcelReader (ExcelReader.java:56) - Read data Key: Run --> Value: true
19:35:41.676 INFO  [main] browsers.Chrome (Chrome.java:25) - Start chrome driver
19:35:41.701 INFO  [main] driver.DriverOptions (DriverOptions.java:20) - Activate Headless mode
19:35:41.702 INFO  [main] driver.DriverOptions (DriverOptions.java:24) - Start maximized
19:35:41.702 INFO  [main] driver.DriverOptions (DriverOptions.java:28) - disable popup blocking
19:35:44.761 INFO  [main] listeners.TestNg (TestNg.java:49) - Start test: alert
